NAME,REVENUES,YEAR
DISNEY,55632,2017
EDISON INTERNATIONAL,11869,2017
DANA HOLDING,5826,2017
OWENS CORNING,5677,2017
ARCHER DANIELS MIDLAND,62346,2017
FREEPORT-MCMORAN,15789,2017
AVNET,26219,2017
REPUBLIC SERVICES,9388,2017
INSIGHT ENTERPRISES,5486,2017
SIMON PROPERTY GROUP,5435,2017
ANTHEM,84863,2017
ELI LILLY,21222,2017
STATE FARM INSURANCE COS.,76132,2017
DUKE ENERGY,23369,2017
NUCOR,16208,2017
SONIC AUTOMOTIVE,9732,2017
BANK OF AMERICA CORP.,93662,2017
NRG ENERGY,12351,2017
LENNAR,10950,2017
RYDER SYSTEM,6787,2017
WORLD FUEL SERVICES,27016,2017
TJX,33184,2017
STAPLES,20217,2017
BOSTON SCIENTIFIC,8386,2017
BIOGEN,11449,2017
RAYTHEON,24069,2017
THERMO FISHER SCIENTIFIC,18274,2017
GLOBAL PARTNERS,8240,2017
DOW CHEMICAL,48158,2017
WEC ENERGY GROUP,7472,2017
NORTHWESTERN MUTUAL,28799,2017
ROCKWELL AUTOMATION,5880,2017
HARLEY-DAVIDSON,5997,2017
MANPOWERGROUP,19654,2017
CONSTELLATION BRANDS,6548,2017
TOLL BROTHERS,5170,2017
UGI,5686,2017
UNIVERSAL HEALTH SERVICES,10508,2017
HOST HOTELS & RESORTS,5488,2017
LOCKHEED MARTIN,50658,2017
MARRIOTT INTERNATIONAL,17072,2017
DISCOVERY COMMUNICATIONS,6497,2017
ANADARKO PETROLEUM,7869,2017
AVIS BUDGET GROUP,8659,2017
PBF ENERGY,15920,2017
WYNDHAM WORLDWIDE,5599,2017
QUEST DIAGNOSTICS,7515,2017
REALOGY HOLDINGS,5810,2017
HONEYWELL INTERNATIONAL,39302,2017
AFLAC,22559,2017
HENRY SCHEIN,11572,2017
DUPONT,24594,2017
CHEMOURS,5400,2017
AMPHENOL,6286,2017
LEUCADIA NATIONAL,10875,2017
S&P GLOBAL,5661,2017
CONSOLIDATED EDISON,12075,2017
GUARDIAN LIFE INS. CO. OF AMERICA,12919,2017
ASSURANT,7532,2017
VERIZON COMMUNICATIONS,125980,2017
NEW YORK LIFE INSURANCE,40787,2017
L-3 COMMUNICATIONS,10597,2017
PVH,8203,2017
AVON PRODUCTS,5853,2017
INTL FCSTONE,14755,2017
J.P. MORGAN CHASE,105486,2017
PFIZER,52824,2017
PHILIP MORRIS INTERNATIONAL,26685,2017
TIAA,37105,2017
TRAVELERS COS.,27625,2017
CBS,14386,2017
TIME WARNER,29318,2017
ALCOA,9318,2017
CITIGROUP,82386,2017
COLGATE-PALMOLIVE,15195,2017
HRG GROUP,6403,2017
OMNICOM GROUP,15417,2017
RALPH LAUREN,7405,2017
ALLEGHANY,6131,2017
INTERPUBLIC GROUP,7847,2017
MARSH & MCLENNAN,13211,2017
MORGAN STANLEY,37949,2017
NEWS CORP.,8319,2017
TWENTY-FIRST CENTURY FOX,27326,2017
VIACOM,12488,2017
AIG,52367,2017
AMTRUST FINANCIAL SERVICES,5451,2017
BLACKROCK,11155,2017
LOEWS,13105,2017
FOOT LOCKER,7766,2017
ESTEE LAUDER,11262,2017
ICAHN ENTERPRISES,16348,2017
BRISTOL-MYERS SQUIBB,19427,2017
GOLDMAN SACHS GROUP,37712,2017
AMERICAN EXPRESS,33823,2017
BANK OF NEW YORK MELLON CORP.,15683,2017
HUNTINGTON INGALLS INDUSTRIES,7068,2017
NORFOLK SOUTHERN,9888,2017
LEAR,18558,2017
KELLY SERVICES,5277,2017
