,date,datatype,value,county_fips
232,2016-01-02T00:00:00,TMAX,10.55,05007
233,2016-01-02T00:00:00,TMIN,-5.8,05007
234,2016-01-03T00:00:00,PRCP,0.0,05007
235,2016-01-03T00:00:00,TMAX,9.15,05007
236,2016-01-03T00:00:00,TMIN,-4.7,05007
237,2016-01-04T00:00:00,PRCP,0.0,05007
238,2016-01-04T00:00:00,TMAX,4.15,05007
239,2016-01-04T00:00:00,TMIN,-5.8,05007
240,2016-01-05T00:00:00,PRCP,0.0,05007
241,2016-01-05T00:00:00,TMAX,6.95,05007
242,2016-01-05T00:00:00,TMIN,-4.65,05007
243,2016-01-06T00:00:00,PRCP,0.0,05007
244,2016-01-06T00:00:00,TMAX,7.2,05007
245,2016-01-06T00:00:00,TMIN,-1.35,05007
246,2016-01-07T00:00:00,PRCP,8.35,05007
247,2016-01-07T00:00:00,TMAX,10.0,05007
248,2016-01-07T00:00:00,TMIN,5.0,05007
249,2016-01-08T00:00:00,PRCP,3.522222222222222,05007
250,2016-01-08T00:00:00,TMAX,9.7,05007
251,2016-01-08T00:00:00,TMIN,5.0,05007
252,2016-01-09T00:00:00,PRCP,7.622222222222222,05007
253,2016-01-09T00:00:00,TMAX,5.0,05007
254,2016-01-09T00:00:00,TMIN,-4.1499999999999995,05007
255,2016-01-10T00:00:00,PRCP,0.575,05007
256,2016-01-10T00:00:00,TMAX,-2.2,05007
257,2016-01-10T00:00:00,TMIN,-11.899999999999999,05007
258,2016-01-11T00:00:00,PRCP,0.0,05007
259,2016-01-11T00:00:00,TMAX,6.95,05007
260,2016-01-11T00:00:00,TMIN,-9.100000000000001,05007
261,2016-01-12T00:00:00,PRCP,2.2,05007
262,2016-01-12T00:00:00,TMAX,8.600000000000001,05007
263,2016-01-12T00:00:00,TMIN,-3.25,05007
264,2016-01-13T00:00:00,PRCP,0.0,05007
265,2016-01-13T00:00:00,TMAX,15.0,05007
266,2016-01-13T00:00:00,TMIN,-3.85,05007
267,2016-01-14T00:00:00,PRCP,0.0,05007
268,2016-01-14T00:00:00,TMAX,16.65,05007
269,2016-01-14T00:00:00,TMIN,5.0,05007
270,2016-01-15T00:00:00,PRCP,1.45,05007
271,2016-01-15T00:00:00,TMAX,12.5,05007
272,2016-01-15T00:00:00,TMIN,0.6000000000000001,05007
273,2016-01-16T00:00:00,PRCP,0.0,05007
274,2016-01-16T00:00:00,TMAX,4.15,05007
275,2016-01-16T00:00:00,TMIN,-5.55,05007
276,2016-01-17T00:00:00,PRCP,0.0,05007
277,2016-01-17T00:00:00,TMAX,-1.05,05007
278,2016-01-17T00:00:00,TMIN,-7.699999999999999,05007
279,2016-01-18T00:00:00,PRCP,0.3777777777777778,05007
280,2016-01-18T00:00:00,TMAX,-0.8,05007
281,2016-01-18T00:00:00,TMIN,-12.45,05007
282,2016-01-19T00:00:00,PRCP,0.18,05007
283,2016-01-19T00:00:00,TMAX,2.5,05007
284,2016-01-19T00:00:00,TMIN,-3.55,05007
